"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1972","Registration with correct email, username and password","LMS system","Sun Jan 18 16:58:46 UTC 2026","passed","Sun Jan 18 16:58:48 UTC 2026","REGISTRATION","AUTHENTICATION","",""
"","0","test_regression_case","tests.pytest","Sun Jan 18 16:58:53 UTC 2026","passed","Sun Jan 18 16:58:53 UTC 2026","","test_markers","",""
"","0","test_critical_login","tests.pytest","Sun Jan 18 16:58:53 UTC 2026","passed","Sun Jan 18 16:58:53 UTC 2026","","test_markers","",""
"","1808","Check displaying of empty courses list","LMS system","Sun Jan 18 16:58:47 UTC 2026","passed","Sun Jan 18 16:58:49 UTC 2026","COURSES","COURSES","",""
"","0","test_login","tests.pytest","Sun Jan 18 16:58:53 UTC 2026","passed","Sun Jan 18 16:58:53 UTC 2026","TestUserAuthentication","test_markers","",""
"","3270","test_edit_course[chromium]","LMS system","Sun Jan 18 16:58:50 UTC 2026","passed","Sun Jan 18 16:58:53 UTC 2026","COURSES","COURSES","",""
"","1573","Navigation from login page to registration page","LMS system","Sun Jan 18 16:58:44 UTC 2026","passed","Sun Jan 18 16:58:46 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","2085","Авторизация с невалидной почтой или паролем","LMS system","Sun Jan 18 16:58:40 UTC 2026","passed","Sun Jan 18 16:58:42 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","3350","Успешная авторизация с корректной почтой и паролем","LMS system","Sun Jan 18 16:58:40 UTC 2026","passed","Sun Jan 18 16:58:43 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","3294","Создать курс","LMS system","Sun Jan 18 16:58:49 UTC 2026","passed","Sun Jan 18 16:58:52 UTC 2026","COURSES","COURSES","",""
"","1667","Check displaying of dashboard page","LMS system","Sun Jan 18 16:58:54 UTC 2026","passed","Sun Jan 18 16:58:55 UTC 2026","DASHBOARD","DASHBOARD","",""
"","1634","Авторизация с невалидной почтой или паролем","LMS system","Sun Jan 18 16:58:44 UTC 2026","passed","Sun Jan 18 16:58:45 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","0","test_logout","tests.pytest","Sun Jan 18 16:58:53 UTC 2026","passed","Sun Jan 18 16:58:53 UTC 2026","TestUserAuthentication","test_markers","",""
"","1738","Авторизация с невалидной почтой или паролем","LMS system","Sun Jan 18 16:58:42 UTC 2026","passed","Sun Jan 18 16:58:44 UTC 2026","AUTHORIZATION","AUTHENTICATION","",""
"","0","test_password_reset","tests.pytest","Sun Jan 18 16:58:53 UTC 2026","passed","Sun Jan 18 16:58:53 UTC 2026","TestUserAuthentication","test_markers","",""
"","3","test_forgot_password_link","tests.pytest","Sun Jan 18 16:58:53 UTC 2026","passed","Sun Jan 18 16:58:53 UTC 2026","TestUserInterface","test_markers","",""
